Tanggal,RR
12/7/2020,0.2
12/8/2020,1.5
12/9/2020,8888
12/10/2020,
12/11/2020,38.7
12/12/2020,8.5
12/13/2020,0.2
12/14/2020,1.8
12/15/2020,2.8
12/16/2020,12.3
12/17/2020,14
12/18/2020,9.8
12/19/2020,3.5
12/20/2020,13.9
12/21/2020,6.5
12/22/2020,
12/23/2020,
12/24/2020,0
12/25/2020,2.5
12/26/2020,55.8
12/27/2020,28
12/28/2020,9
12/29/2020,1
12/30/2020,0.6
12/31/2020,0.2
1/1/2021,42.9
1/2/2021,5.5
1/3/2021,5.7
1/4/2021,0.2
1/5/2021,8888
1/6/2021,7.4
1/7/2021,4.5
1/8/2021,0
1/9/2021,0
1/10/2021,31
1/11/2021,1.8
1/12/2021,19.8
1/13/2021,7.2
1/14/2021,8888
1/15/2021,0
1/16/2021,0
1/17/2021,0
1/18/2021,0
1/19/2021,2
1/20/2021,0
1/21/2021,2
1/22/2021,43
1/23/2021,0
1/24/2021,13.5
1/25/2021,10
1/26/2021,14.3
1/27/2021,1
1/28/2021,6.3
1/29/2021,0.2
1/30/2021,7
1/31/2021,3
2/1/2021,0.3
2/2/2021,7.9
2/3/2021,11.9
2/4/2021,15.3
2/5/2021,26.7
2/6/2021,0
2/7/2021,8888
2/8/2021,22.3
2/9/2021,26.9
2/10/2021,9.7
2/11/2021,10.2
2/12/2021,0
2/13/2021,29.8
2/14/2021,0
2/15/2021,9.5
2/16/2021,0.2
2/17/2021,0.8
2/18/2021,8888
2/19/2021,0.4
2/20/2021,0.2
2/21/2021,7.2
2/22/2021,0
2/23/2021,0
2/24/2021,0
2/25/2021,21
2/26/2021,33.6
2/27/2021,44.6
2/28/2021,0
3/1/2021,0.2
3/2/2021,29.5
3/3/2021,15.6
3/4/2021,52.9
3/5/2021,0
3/6/2021,0
3/7/2021,2.5
3/8/2021,10.1
3/9/2021,0
3/10/2021,6.5
3/11/2021,0
3/12/2021,4
3/13/2021,13.7
3/14/2021,6.6
3/15/2021,32.9
3/16/2021,0
3/17/2021,8888
3/18/2021,0
3/19/2021,0
3/20/2021,0
3/21/2021,0
3/22/2021,0
3/23/2021,4.1
3/24/2021,1
3/25/2021,6.5
3/26/2021,2
3/27/2021,2.5
3/28/2021,0.4
3/29/2021,0
3/30/2021,0
3/31/2021,8888
4/1/2021,8.2
4/2/2021,8888
4/3/2021,39.5
4/4/2021,8888
4/5/2021,0
4/6/2021,0
4/7/2021,0
4/8/2021,0
4/9/2021,0
4/10/2021,12.6
4/11/2021,8
4/12/2021,0.7
4/13/2021,1
4/14/2021,0
4/15/2021,8888
4/16/2021,32.5
4/17/2021,8888
4/18/2021,1.2
4/19/2021,1
4/20/2021,2.5
4/21/2021,4.5
4/22/2021,0
4/23/2021,0
4/24/2021,0
4/25/2021,0
4/26/2021,0
4/27/2021,0
4/28/2021,0
4/29/2021,2.8
4/30/2021,19
5/1/2021,20.2
5/2/2021,5.9
5/3/2021,0
5/4/2021,0
5/5/2021,50.2
5/6/2021,8888
5/7/2021,1
5/8/2021,0
5/9/2021,11
5/10/2021,3
5/11/2021,1.5
5/12/2021,0
5/13/2021,0
5/14/2021,0
5/15/2021,5.1
5/16/2021,0
5/17/2021,14.3
5/18/2021,0.5
5/19/2021,0
5/20/2021,0
5/21/2021,0
5/22/2021,0
5/23/2021,1
5/24/2021,0
5/25/2021,1
5/26/2021,0
5/27/2021,0
5/28/2021,0
5/29/2021,6.4
5/30/2021,21.7
5/31/2021,0
6/1/2021,0
6/2/2021,0
6/3/2021,0
6/4/2021,14.2
6/5/2021,19.5
6/6/2021,0
6/7/2021,0.3
6/8/2021,0
6/9/2021,8888
6/10/2021,0
6/11/2021,0
6/12/2021,0
6/13/2021,0
6/14/2021,0
6/15/2021,0
6/16/2021,4
6/17/2021,8.5
6/18/2021,8888
6/19/2021,3.5
6/20/2021,0
6/21/2021,0
6/22/2021,0
6/23/2021,0
6/24/2021,3.7
6/25/2021,0.8
6/26/2021,0
6/27/2021,0
6/28/2021,0.3
6/29/2021,8.1
6/30/2021,2.9
7/1/2021,15.7
7/2/2021,1.9
7/3/2021,0
7/4/2021,0.2
7/5/2021,0
7/6/2021,0
7/7/2021,0
7/8/2021,0
7/9/2021,0
7/10/2021,0
7/11/2021,29.9
7/12/2021,0
7/13/2021,8888
7/14/2021,3.3
7/15/2021,0
7/16/2021,0.2
7/17/2021,0
7/18/2021,0
7/19/2021,0
7/20/2021,0
7/21/2021,1.2
7/22/2021,0
7/23/2021,0
7/24/2021,8888
7/25/2021,0
7/26/2021,0
7/27/2021,0
7/28/2021,0
7/29/2021,0
7/30/2021,0
7/31/2021,0
8/1/2021,8
8/2/2021,19.2
8/3/2021,4
8/4/2021,8888
8/5/2021,8888
8/6/2021,3
8/7/2021,0
8/8/2021,0.3
8/9/2021,0
8/10/2021,1.3
8/11/2021,0
8/12/2021,0
8/13/2021,0
8/14/2021,4.5
8/15/2021,8888
8/16/2021,2
8/17/2021,0
8/18/2021,2.2
8/19/2021,0
8/20/2021,3.6
8/21/2021,8888
8/22/2021,10.4
8/23/2021,0
8/24/2021,0
8/25/2021,0
8/26/2021,0
8/27/2021,0
8/28/2021,0
8/29/2021,8888
8/30/2021,6.4
8/31/2021,5.8
9/1/2021,5.8
9/2/2021,1.3
9/3/2021,0
9/4/2021,0
9/5/2021,0
9/6/2021,17.3
9/7/2021,66
9/8/2021,8.2
9/9/2021,0
9/10/2021,0.8
9/11/2021,0
9/12/2021,0
9/13/2021,11
9/14/2021,16.6
9/15/2021,8888
9/16/2021,0
9/17/2021,0
9/18/2021,0
9/19/2021,0
9/20/2021,9.6
9/21/2021,0
9/22/2021,3.8
9/23/2021,0
9/24/2021,9
9/25/2021,13.8
9/26/2021,12
9/27/2021,0
9/28/2021,1
9/29/2021,5.3
9/30/2021,0.6
10/1/2021,0
10/2/2021,0
10/3/2021,0
10/4/2021,0
10/5/2021,0
10/6/2021,0
10/7/2021,8888
10/8/2021,0
10/9/2021,0.7
10/10/2021,0
10/11/2021,4.5
10/12/2021,1.5
10/13/2021,0
10/14/2021,0
10/15/2021,0
10/16/2021,0.2
10/17/2021,0
10/18/2021,10.2
10/19/2021,50.2
10/20/2021,0
10/21/2021,0
10/22/2021,0
10/23/2021,0
10/24/2021,16.6
10/25/2021,12.2
10/26/2021,1.2
10/27/2021,0
10/28/2021,3.9
10/29/2021,12.1
10/30/2021,0
10/31/2021,0
11/1/2021,0
11/2/2021,25.9
11/3/2021,0
11/4/2021,0
11/5/2021,0
11/6/2021,0
11/7/2021,0
11/8/2021,34.6
11/9/2021,15.6
11/10/2021,70.7
11/11/2021,14.8
11/12/2021,0.4
11/13/2021,0
11/14/2021,0
11/15/2021,0
11/16/2021,5.2
11/17/2021,0
11/18/2021,1.7
11/19/2021,0.4
11/20/2021,8888
11/21/2021,21.9
11/22/2021,8888
11/23/2021,0
11/24/2021,0.8
11/25/2021,8888
11/26/2021,0
11/27/2021,14.3
11/28/2021,0
11/29/2021,0
11/30/2021,4.9
12/1/2021,0
12/2/2021,0
12/3/2021,0
12/4/2021,6
12/5/2021,27.2
12/6/2021,6.7
12/7/2021,36.8
12/8/2021,1.7
12/9/2021,2.4
12/10/2021,7.8
12/11/2021,19
12/12/2021,0
12/13/2021,0
12/14/2021,1.5
12/15/2021,5.2
12/16/2021,0
12/17/2021,43.8
12/18/2021,0
12/19/2021,0
12/20/2021,1.9
12/21/2021,9.5
12/22/2021,2.9
12/23/2021,0
12/24/2021,3.6
12/25/2021,11
12/26/2021,47.3
12/27/2021,10
12/28/2021,0
12/29/2021,5.6
12/30/2021,9.5
12/31/2021,8888
1/1/2022,1.1
1/2/2022,0
1/3/2022,0
1/4/2022,0
1/5/2022,0
1/6/2022,1
1/7/2022,36.7
1/8/2022,0.1
1/9/2022,1.5
1/10/2022,8888
1/11/2022,33
1/12/2022,5.3
1/13/2022,11.1
1/14/2022,24.2
1/15/2022,11.6
1/16/2022,4.8
1/17/2022,72.5
1/18/2022,3.5
1/19/2022,0.2
1/20/2022,8.2
1/21/2022,11.1
1/22/2022,16.2
1/23/2022,5.9
1/24/2022,0
1/25/2022,0
1/26/2022,9.6
1/27/2022,1.8
1/28/2022,0
1/29/2022,8888
1/30/2022,5
1/31/2022,5.5
2/1/2022,8888
2/2/2022,4.5
2/3/2022,0
2/4/2022,1
2/5/2022,32.5
2/6/2022,1
2/7/2022,11.5
2/8/2022,0
2/9/2022,0
2/10/2022,17.7
2/11/2022,8888
2/12/2022,0
2/13/2022,0
2/14/2022,0.7
2/15/2022,0
2/16/2022,0
2/17/2022,0.6
2/18/2022,1
2/19/2022,0
2/20/2022,0
2/21/2022,27.4
2/22/2022,1.2
2/23/2022,8.9
2/24/2022,19.5
2/25/2022,0
2/26/2022,0
2/27/2022,0
2/28/2022,0
3/1/2022,0
3/2/2022,8888
3/3/2022,8888
3/4/2022,10.4
3/5/2022,0
3/6/2022,33.2
3/7/2022,8888
3/8/2022,8888
3/9/2022,8888
3/10/2022,0
3/11/2022,0
3/12/2022,1.2
3/13/2022,8.6
3/14/2022,3.5
3/15/2022,0.8
3/16/2022,0
3/17/2022,0
3/18/2022,11.9
3/19/2022,0
3/20/2022,0
3/21/2022,0
3/22/2022,0
3/23/2022,1.6
3/24/2022,11.3
3/25/2022,10.7
3/26/2022,0
3/27/2022,0
3/28/2022,7
3/29/2022,0.4
3/30/2022,0
3/31/2022,4
4/1/2022,8.8
4/2/2022,0
4/3/2022,1.3
4/4/2022,0
4/5/2022,0
4/6/2022,0
4/7/2022,0
4/8/2022,0
4/9/2022,0
4/10/2022,0
4/11/2022,0
4/12/2022,0
4/13/2022,0
4/14/2022,0
4/15/2022,1.1
4/16/2022,52.9
4/17/2022,0
4/18/2022,0
4/19/2022,7.3
4/20/2022,0
4/21/2022,0
4/22/2022,0
4/23/2022,8.1
4/24/2022,42.5
4/25/2022,0
4/26/2022,0
4/27/2022,3.3
4/28/2022,45.5
4/29/2022,0
4/30/2022,0
5/1/2022,0
5/2/2022,0
5/3/2022,4.8
5/4/2022,6.8
5/5/2022,4.9
5/6/2022,0
5/7/2022,12.4
5/8/2022,0
5/9/2022,0
5/10/2022,0
5/11/2022,0
5/12/2022,8888
5/13/2022,0
5/14/2022,0
5/15/2022,0
5/16/2022,5.5
5/17/2022,0
5/18/2022,0
5/19/2022,2.5
5/20/2022,19.5
5/21/2022,8888
5/22/2022,5.1
5/23/2022,6
5/24/2022,8888
5/25/2022,12.8
5/26/2022,8.2
5/27/2022,0
5/28/2022,11.5
5/29/2022,0
5/30/2022,6.2
5/31/2022,1.5
6/1/2022,0
6/2/2022,7
6/3/2022,0
6/4/2022,0
6/5/2022,0
6/6/2022,8888
6/7/2022,30.2
6/8/2022,2
6/9/2022,38.5
6/10/2022,0
6/11/2022,8888
6/12/2022,19.5
6/13/2022,0.1
6/14/2022,0
6/15/2022,0.3
6/16/2022,10
6/17/2022,1.5
6/18/2022,0
6/19/2022,0.5
6/20/2022,2.3
6/21/2022,11.4
6/22/2022,0
6/23/2022,5.7
6/24/2022,11.2
6/25/2022,0.2
6/26/2022,3.5
6/27/2022,0.4
6/28/2022,8888
6/29/2022,22.8
6/30/2022,0
7/1/2022,0
7/2/2022,0
7/3/2022,0.2
7/4/2022,8888
7/5/2022,0
7/6/2022,3.8
7/7/2022,0
7/8/2022,0
7/9/2022,0
7/10/2022,0.5
7/11/2022,0.5
7/12/2022,0.5
7/13/2022,7.5
7/14/2022,0
7/15/2022,9
7/16/2022,40.1
7/17/2022,2
7/18/2022,0
7/19/2022,0
7/20/2022,0
7/21/2022,28.1
7/22/2022,8888
7/23/2022,2.2
7/24/2022,0.2
7/25/2022,8888
7/26/2022,0.5
7/27/2022,0
7/28/2022,8888
7/29/2022,0
7/30/2022,2.5
7/31/2022,0.2
8/1/2022,0
8/2/2022,0
8/3/2022,0
8/4/2022,57.4
8/5/2022,0
8/6/2022,1
8/7/2022,0
8/8/2022,1.3
8/9/2022,0
8/10/2022,0
8/11/2022,0
8/12/2022,8888
8/13/2022,0.4
8/14/2022,0
8/15/2022,0
